,Title,Cited
864,Toward Large Kernel Models,1
863,On Excess Mass Behavior in Gaussian Mixture Models with Orlicz-Wasserstein Distances,1
939,ACAT: Adversarial Counterfactual Attention for Classification and Detection in Medical Imaging,1
860,Behavior Contrastive Learning for Unsupervised Skill Discovery,1
847,Distributional Offline Policy Evaluation with Predictive Error Guarantees,1
762,Width and Depth Limits Commute in Residual Networks,1
758,R-U-SURE? Uncertainty-Aware Code Suggestions By Maximizing Utility Across Random User Intents,1
573,High Fidelity Image Counterfactuals with Probabilistic Causal Models,1
593,Improving Adversarial Robustness by Putting More Regularizations on Less Robust Samples,1
1169,"SGD with AdaGrad Stepsizes: Full Adaptivity with High Probability to Unknown Parameters, Unbounded Gradients and Affine Variance",1
1185,A Group Symmetric Stochastic Differential Equation Model for Molecule Multi-modal Pretraining,1
1193,Learning Control by Iterative Inversion,1
1208,Optimality of Thompson Sampling with Noninformative Priors for Pareto Bandits,1
616,Online Mechanism Design for Information Acquisition,1
600,The Edge of Orthogonality: A Simple View of What Makes BYOL Tick,1
599,Conformal Prediction for Federated Uncertainty Quantification Under Label Shift,1
598,Accelerated Stochastic Optimization Methods under Quasar-convexity,1
1249,Preprocessors Matter! Realistic Decision-Based Attacks on Machine Learning Systems,1
1160,Differentiable Simulations for Enhanced Sampling of Rare Events,1
588,"Robust Consensus in Ranking Data Analysis: Definitions, Properties and Computational Issues",1
1250,MixFlows: principled variational inference via mixed flows,1
74,MAHALO: Unifying Offline Reinforcement Learning and Imitation Learning from Observations,1
1252,Federated Conformal Predictors for Distributed Uncertainty Quantification,1
1256,Are Large Kernels Better Teachers than Transformers for ConvNets?,1
1258,Fair Densities via Boosting the Sufficient Statistics of Exponential Families,1
1260,On the Robustness of Randomized Ensembles to Adversarial Perturbations,1
574,Two Losses Are Better Than One: Faster Optimization Using a Cheaper Proxy,1
1166,On the Complexity of Bayesian Generalization,1
672,A Neural PDE Solver with Temporal Stencil Modeling,1
1038,Algorithmic Collective Action in Machine Learning,1
1078,Fast Online Value-Maximizing Prediction Sets with Conformal Cost Control,1
743,Efficient List-Decodable Regression using Batches,1
1056,Cluster Explanation via Polyhedral Descriptions,1
739,Long-Tailed Recognition by Mutual Information Maximization between Latent Features and Ground-Truth Labels,1
1068,Special Properties of Gradient Descent with Large Learning Rates,1
1071,Statistical Learning under Heterogenous Distribution Shift,1
1076,Concurrent Shuffle Differential Privacy Under Continual Observation,1
725,Delay-Adapted Policy Optimization and Improved Regret for Adversarial MDP with Delayed Bandit Feedback,1
724,Restoration based Generative Models,1
1095,Revisiting Bellman Errors for Offline Model Selection,1
673,Learning Perturbations to Explain Time Series Predictions,1
1114,Feed Two Birds with One Scone: Exploiting Wild Data for Both Out-of-Distribution Generalization and Detection,1
1118,Explainable Data-Driven Optimization: From Context to Decision and Back Again,1
699,"Label Distributionally Robust Losses for Multi-class Classification: Consistency, Robustness and Adaptivity",1
694,Low-Switching Policy Gradient with Exploration via Online Sensitivity Sampling,1
1127,DIFF2: Differential Private Optimization via Gradient Differences for Nonconvex Distributed Learning,1
687,Constrained Causal Bayesian Optimization,1
1134,Alternating Local Enumeration (TnALE): Solving Tensor Network Structure Search with Fewer Evaluations,1
675,Training Normalizing Flows from Dependent Data,1
1108,ILLUME: Rationalizing Vision-Language Models through Human Interactions,1
910,How to Trust Your Diffusion Model: A Convex Optimization Approach to Conformal Risk Control,1
1516,Generalization Analysis for Contrastive Representation Learning,1
1573,Causal Strategic Classification: A Tale of Two Shifts,1
385,Data-Efficient Contrastive Self-supervised Learning: Most Beneficial Examples for Supervised Learning Contribute the Least,1
383,Theory on Forgetting and Generalization of Continual Learning,1
162,Linearly Constrained Bilevel Optimization: A Smoothed Implicit Gradient Approach,1
10,Autoregressive Diffusion Model for Graph Generation,1
377,Naive imputation implicitly regularizes high-dimensional linear models,1
1756,Uncertain Evidence in Probabilistic Models and Stochastic Simulators,1
1501,FedDisco: Federated Learning with Discrepancy-Aware Collaboration,1
1480,Learning Subpocket Prototypes for Generalizable Structure-based Drug Design,1
1742,Pre-training for Speech Translation: CTC Meets Optimal Transport,1
1509,Learning Antidote Data to Individual Unfairness,1
1741,Towards Theoretical Understanding of Inverse Reinforcement Learning,1
1568,DADAO: Decoupled Accelerated Decentralized Asynchronous Optimization,1
366,Efficient Parametric Approximations of Neural Network Function Space Distance,1
315,Toward Efficient Gradient-Based Value Estimation,1
26,Simple Disentanglement of Style and Content in Visual Representations,1
1479,Synthetic data for model selection,1
239,"In Search of Insights, Not Magic Bullets: Towards Demystification of the Model Selection Dilemma in Heterogeneous Treatment Effect Estimation",1
1452,Learning to Maximize Mutual Information for Dynamic Feature Selection,1
410,When does Privileged information Explain Away Label Noise?,1
304,Are Random Decompositions all we need in High Dimensional Bayesian Optimisation?,1
305,Individually Fair Learning with One-Sided Feedback,1
1766,Adversarial Policies Beat Superhuman Go AIs,1
1448,Are Equivariant Equilibrium Approximators Beneficial?,1
403,InGram: Inductive Knowledge Graph Embedding via Relation Graphs,1
1552,Weak Proxies are Sufficient and Preferable for Fairness with Missing Sensitive Attributes,1
1663,Leveraging Demonstrations to Improve Online Learning: Quality Matters,1
1765,"Generalization on the Unseen, Logic Reasoning and Degree Curriculum",1
1456,Tight Certification of Adversarially Trained Neural Networks via Nonconvex Low-Rank Semidefinite Relaxations,1
308,Supervised Metric Learning to Rank for Retrieval via Contextual Similarity Optimization,1
1464,MEWL: Few-shot multimodal word learning with referential uncertainty,1
1465,A Kernel Stein Test of Goodness of Fit for Sequential Models,1
160,Simple and Fast Group Robustness by Automatic Feature Reweighting,1
1735,Flipping Coins to Estimate Pseudocounts for Exploration in Reinforcement Learning,1
1515,Hierarchical Programmatic Reinforcement Learning via Learning to Compose Programs,1
13,Domain Adaptation for Time Series Under Feature and Label Shifts,1
326,Generalized Reductions: Making any Hierarchical Clustering Fair and Balanced with Low Cost,1
1542,FaDIn: Fast Discretized Inference for Hawkes Processes with General Parametric Kernels,1
1544,FLEX: an Adaptive Exploration Algorithm for Nonlinear Systems,1
1677,Provably Learning Object-Centric Representations,1
1705,Tighter Information-Theoretic Generalization Bounds from Supersamples,1
324,Blackout Diffusion: Generative Diffusion Models in Discrete-State Spaces,1
1546,ClusterFuG: Clustering Fully connected Graphs by Multicut,1
340,Efficient displacement convex optimization with particle gradient descent,1
1731,Hierarchies of Reward Machines,1
339,Representer Point Selection for Explaining Regularized High-dimensional Models,1
327,Distribution Free Prediction Sets for Node Classification,1
337,Provable Multi-instance Deep AUC Maximization with Stochastic Pooling,1
1687,Spherical Fourier Neural Operators: Learning Stable Dynamics on the Sphere,1
1694,Robustly Learning a Single Neuron via Sharpness,1
1551,Dink-Net: Neural Clustering on Large Graphs,1
20,Unsupervised Out-of-Distribution Detection with Diffusion Inpainting,1
199,Beam Tree Recursive Cells,1
1534,Unleashing Mask: Explore the Intrinsic Out-of-Distribution Detection Capability,1
1561,Multiple Thinking Achieving Meta-Ability Decoupling for Object Navigation,1
1530,Scalable Set Encoding with Universal Mini-Batch Consistency and Unbiased Full Set Gradient Approximation,1
1708,Beyond the Universal Law of Robustness: Sharper Laws for Random Features and Neural Tangent Kernels,1
1529,Efficient and Degree-Guided Graph Generation via Discrete Diffusion Modeling,1
192,Neural Markov Jump Processes,1
16,Contextual Reliability: When Different Features Matter in Different Contexts,1
189,"From Perception to Programs: Regularize, Overparameterize, and Amortize",1
319,Provably Learning Diverse Features in Multi-View Data with Midpoint Mixup,1
1722,Robust Budget Pacing with a Single Sample,1
1637,Which Invariance Should We Transfer? A Causal Minimax Learning Approach,1
14,Towards Sustainable Learning: Coresets for Data-efficient Deep Learning,1
1725,Evaluating Self-Supervised Learning via Risk Decomposition,1
318,Fast as CHITA: Neural Network Pruning with Combinatorial Optimization,1
1729,Mastering the Unsupervised Reinforcement Learning Benchmark from Pixels,1
8,Unconstrained Online Learning with Unbounded Losses,1
1660,Learning Physical Models that Can Respect Conservation Laws,1
1583,Robust Weight Signatures: Gaining Robustness as Easy as Patching Weights?,1
1815,Marginalization is not Marginal: No Bad VAE Local Minima when Learning Optimal Sparse Representations,1
119,From Relational Pooling to Subgraph GNNs: A Universal Framework for More Expressive Graph Neural Networks,1
439,Analyzing Diffusion as Serial Reproduction,1
1403,Conformal Inference is (almost) Free for Neural Networks Trained with Early Stopping,1
1402,The Implicit Regularization of Dynamical Stability in Stochastic Gradient Descent,1
250,Efficient and Equivariant Graph Networks for Predicting Quantum Hamiltonian,1
279,Learning Rate Schedules in the Presence of Distribution Shift,1
1400,FusionRetro: Molecule Representation Fusion via In-Context Learning for Retrosynthetic Planning,1
253,Node Embedding from Neural Hamiltonian Orbits in Graph Neural Networks,1
444,Learning Dynamic Query Combinations for Transformer-based Object Detection and Segmentation,1
1622,Curriculum Co-disentangled Representation Learning across Multiple Environments for Social Recommendation,1
273,NUNO: A General Framework for Learning Parametric PDEs with Non-Uniform Data,1
1394,Byzantine-Robust Learning on Heterogeneous Data via Gradient Splitting,1
450,Learning Compiler Pass Orders using Coreset and Normalized Value Prediction,1
254,Multi-Task Differential Privacy Under Distribution Skew,1
1626,Fair and Optimal Classification via Post-Processing,1
1413,Adaptive Computation with Elastic Input Sequence,1
30,Hyperbolic Representation Learning: Revisiting and Advancing,1
1818,Delayed Feedback in Kernel Bandits,1
81,Conformal Prediction with Missing Values,1
461,"Synthetic Data, Real Errors: How (Not) to Publish and Use Synthetic Data",1
1821,Practical and Matching Gradient Variance Bounds for Black-Box Variational Bayesian Inference,1
1822,"Fundamental Limits of Two-layer Autoencoders, and Achieving Them with Gradient Methods",1
1375,Model-Aware Contrastive Learning: Towards Escaping the Dilemmas,1
102,The Test of Tests: A Framework for Differentially Private Hypothesis Testing,1
1369,Efficient Approximations of Complete Interatomic Potentials for Crystal Property Prediction,1
99,Q-Flow: Generative Modeling for Differential Equations of Open Quantum Dynamics with Normalizing Flows,1
257,General Covariance Data Augmentation for Neural PDE Solvers,1
1363,Unveiling The Mask of Position-Information Pattern Through the Mist of Image Features,1
258,Deep Anomaly Detection under Labeling Budget Constraints,1
1362,Transformers Meet Directed Graphs,1
121,Auxiliary Learning as an Asymmetric Bargaining Game,1
280,Extending Conformal Prediction to Hidden Markov Models with Exact Validity via de Finetti's Theorem for Markov Chains,1
419,Multi-Task Off-Policy Learning from Bandit Feedback,1
140,FAENet: Frame Averaging Equivariant GNN for Materials Modeling,1
1587,Performative Recommendation: Diversifying Content via Strategic Incentives,1
1789,Instant Soup: Cheap Pruning Ensembles in A Single Pass Can Draw Lottery Tickets from Large Models,1
1784,Diffusion Models as Artists: Are we Closing the Gap between Humans and Machines?,1
1421,Off-Policy Evaluation for Large Action Spaces via Conjunct Effect Modeling,1
245,Alternately Optimized Graph Neural Networks,1
1649,SEGA: Structural Entropy Guided Anchor View for Graph Contrastive Learning,1
243,ReDi: Efficient Learning-Free Diffusion Inference via Trajectory Retrieval,1
1787,Learning Signed Distance Functions from Noisy 3D Point Clouds via Noise to Noise Mapping,1
1605,Great Models Think Alike: Improving Model Reliability via Inter-Model Latent Agreement,1
1795,Simplex Random Features,1
1358,FeDXL: Provable Federated Learning for Deep X-Risk Optimization,1
1788,Over-parametrization via Lifting for Low-rank Matrix Sensing: Conversion of Spurious Solutions to Strict Saddle Points,1
1418,Corruption-Robust Algorithms with Uncertainty Weighting for Nonlinear Contextual Bandits and Markov Decision Processes,1
1652,Evolving Semantic Prototype Improves Generative Zero-Shot Learning,0
1058,Fully Bayesian Autoencoders with Latent Sparse Gaussian Processes,0
1069,The Power of Learned Locally Linear Models for Nonlinear Policy Optimization,0
1060,Fairness in Streaming Submodular Maximization over a Matroid Constraint,0
1032,On the Estimation of Gaussian Mixture Copula Models,0
1017,Privacy-Aware Compression for Federated Learning Through Numerical Mechanism Design,0
1062,Optimal randomized multilevel Monte Carlo for repeatedly nested expectations,0
1689,Task-specific experimental design for treatment effect estimation,0
1013,Auxiliary Modality Learning with Generalized Curriculum Distillation,0
1681,Self-Repellent Random Walks on General Graphs - Achieving Minimal Sampling Variance via Nonlinear Markov Chains,0
1035,Structure Learning of Latent Factors via Clique Search on Correlation Thresholded Graphs,0
1063,PAC Prediction Sets for Large Language Models of Code,0
1683,Which Features are Learnt by Contrastive Learning? On the Role of Simplicity Bias in Class Collapse and Feature Suppression,0
1682,Active Ranking of Experts Based on their Performances in Many Tasks,0
1036,Phase Transitions in the Detection of Correlated Databases,0
1658,Minimum Width of Leaky-ReLU Neural Networks for Uniform Universal Approximation,0
1014,Sample and Predict Your Latent: Modality-free Sequential Disentanglement via Contrastive Estimation,0
1054,On the Convergence of SARSA with Linear Function Approximation,0
1018,Efficient preconditioned stochastic gradient descent for estimation in latent variable models,0
1676,JAWS-X: Addressing Efficiency Bottlenecks of Conformal Prediction Under Standard and Feedback Covariate Shift,0
53,"Probabilistic Unrolling: Scalable, Inverse-Free Maximum Likelihood Estimation for Latent Gaussian Models",0
1666,Dynamical Linear Bandits,0
1646,FAIRER: Fairness as Decision Rationale Alignment,0
1665,Optimizing NOTEARS Objectives via Topological Swaps,0
1052,Cooperative Multi-Agent Reinforcement Learning: Asynchronous Communication and Linear Function Approximation,0
1048,PINA: Leveraging Side Information in eXtreme Multi-label Classification via Predicted Instance Neighborhood Aggregation,0
1669,Towards Omni-generalizable Neural Methods for Vehicle Routing Problems,0
1046,Feature Expansion for Graph Neural Networks,0
1656,Boosting Offline Reinforcement Learning with Action Preference Query,0
1025,Learning Neural PDE Solvers with Parameter-Guided Channel Attention,0
1044,CLUTR: Curriculum Learning via Unsupervised Task Representation Learning,0
1027,Can We Scale Transformers to Predict Parameters of Diverse ImageNet Models?,0
1671,Long-Term Rhythmic Video Soundtracker,0
1028,Entropy-driven Unsupervised Keypoint Representation Learning in Videos,0
1644,CoCo: A Coupled Contrastive Framework for Unsupervised Domain Adaptive Graph Classification,0
1674,Bayesian Design Principles for Frequentist Sequential Learning,0
1020,TIDE: Time Derivative Diffusion for Deep Learning on Graphs,0
25,On Regularization and Inference with Label Constraints,0
1040,RLang: A Declarative Language for Describing Partial World Knowledge to Reinforcement Learning Agents,0
1647,Social learning spontaneously emerges by searching optimal heuristics with deep reinforcement learning,0
1031,Improving Graph Generation by Restricting Graph Bandwidth,0
1006,PAC Generalization via Invariant Representations,0
41,The Optimal Approximation Factors in Misspecified Off-Policy Value Function Estimation,0
22,The Hessian perspective into the Nature of Convolutional Neural Networks,0
1004,Beyond In-Domain Scenarios: Robust Density-Aware Calibration,0
929,How Many Perturbations Break This Model? Evaluating Robustness Beyond Adversarial Accuracy,0
57,Approximate Causal Effect Identification under Weak Confounding,0
1797,Difference of submodular minimization via DC programming,0
931,On the Training Instability of Shuffling SGD with Batch Normalization,0
933,A Hybrid Quantum-Classical Approach based on the Hadamard Transform for the Convolutional Layer,0
1792,Sharper Bounds for $\ell_p$ Sensitivity Sampling,0
934,Benign Overfitting in Deep Neural Networks under Lazy Training,0
6,Provably Efficient Representation Learning with Tractable Planning in Low-Rank POMDP,0
1790,Buying Information for Stochastic Optimization,0
1786,Calibrating Multimodal Learning,0
940,Recasting Self-Attention with Holographic Reduced Representations,0
1782,Continuation Path Learning for Homotopy Optimization,0
941,Generative Graph Dictionary Learning,0
942,Synergies between Disentanglement and Sparsity: Generalization and Identifiability in Multi-Task Learning,0
1777,Dynamic Regularized Sharpness Aware Minimization in Federated Learning: Approaching Global Consistency and Smooth Landscape,0
943,Gaussian processes at the Helm(holtz): A more fluid model for ocean currents,0
1774,Generalized Teacher Forcing for Learning Chaotic Dynamics,0
1798,Returning The Favour: When Regression Benefits From Probabilistic Causal Knowledge,0
927,Causal Isotonic Calibration for Heterogeneous Treatment Effects,0
5,NeRFool: Uncovering the Vulnerability of Generalizable Neural Radiance Fields against Adversarial Perturbations,0
919,Dimensionality Reduction for General KDE Mode Finding,0
2,GEAR: A GPU-Centric Experience Replay System for Large Reinforcement Learning Models,0
912,Controlling Posterior Collapse by an Inverse Lipschitz Constraint on the Decoder Network,0
3,Disentangled Multi-Fidelity Deep Bayesian Active Learning,0
1,Adaptive Estimation of Graphical Models under Total Positivity,0
915,Incentivizing Exploration with Linear Contexts and Combinatorial Actions,0
916,Towards Robust Graph Incremental Learning on Evolving Graphs,0
917,Proximal Causal Learning of Conditional Average Treatment Effects,0
1816,Gaussian Process Priors for Systems of Linear Partial Differential Equations with Constant Coefficients,0
1802,Fast Private Kernel Density Estimation via Locality Sensitive Quantization,0
1814,Reparameterized Policy Learning for Multimodal Trajectory Optimization,0
1812,AdaBoost is not an Optimal Weak to Strong Learner,0
1811,Memory-Based Dual Gaussian Processes for Sequential Learning,0
1805,Tilted Sparse Additive Models,0
1804,Subequivariant Graph Reinforcement Learning in 3D Environments,0
1803,Sequential Underspecified Instrument Selection for Cause-Effect Estimation,0
922,Efficient Bound of Lipschitz Constant for Convolutional Layers by Gram Iteration,0
945,Pairwise Ranking Losses of Click-Through Rates Prediction for Welfare Maximization in Ad Auctions,0
946,Data-Driven Subgroup Identification for Linear Regression,0
9,Optimistic Planning by Regularized Dynamic Programming,0
994,Divide and Conquer Dynamic Programming: An Almost Linear Time Change Point Detection Methodology in High Dimensions,0
17,On Data Manifolds Entailed by Structural Causal Models,0
55,Deep Generative Symbolic Regression with Monte-Carlo-Tree-Search,0
986,Sequential Monte Carlo Learning for Time Series Structure Discovery,0
987,Scaling Spherical CNNs,0
21,Sequence Modeling with Multiresolution Convolutional Memory,0
54,Stable and Consistent Prediction of 3D Characteristic Orientation via Invariant Residual Learning,0
992,Sequential Counterfactual Risk Minimization,0
1703,Weighted Flow Diffusion for Local Graph Clustering with Node Attributes: an Algorithm and Statistical Guarantees,0
983,Von Mises Mixture Distributions for Molecular Conformation Generation,0
995,An Effective Meaningful Way to Evaluate Survival Models,0
1700,Best of Both Worlds Policy Optimization,0
998,Decoding Layer Saliency in Language Transformers,0
999,Data Efficient Neural Scaling Law via Model Reusing,0
1696,"Rockmate: an Efficient, Fast, Automatic and Generic Tool for Re-materialization in PyTorch",0
1000,Can Forward Gradient Match Backpropagation?,0
1695,A Study of Global and Episodic Bonuses for Exploration in Contextual MDPs,0
1715,Self-Interpretable Time Series Prediction with Counterfactual Explanations,0
982,Delayed Bandits: When Do Intermediate Observations Help?,0
1767,Why does Throwing Away Data Improve Worst-Group Error?,0
965,Disentangled Generative Models for Robust Prediction of System Dynamics,0
949,LegendreTron: Uprising Proper Multiclass Loss Learning,0
950,Semi-Offline Reinforcement Learning for Optimized Text Generation,0
954,Weighted Tallying Bandits: Overcoming Intractability via Repeated Exposure Optimality,0
1761,Tight Data Access Bounds for Private Top-$k$ Selection,0
94,Effective Minkowski Dimension of Deep Nonparametric Regression: Function Approximation and Statistical Theories,0
1758,Nonparametric Extensions of Randomized Response for Private Confidence Sets,0
56,Mixing Predictions for Online Metric Algorithms,0
966,HOPE: High-order Graph ODE For Modeling Interacting Dynamics,0
979,Probabilistic Categorical Adversarial Attack and Adversarial Training,0
1752,Arithmetic Sampling: Parallel Diverse Decoding for Large Language Models,0
970,"Pricing Experimental Design: Causal Effect, Expected Revenue and Tail Risk",0
974,Graph Generative Model for Benchmarking Graph Neural Networks,0
975,Linear optimal partial transport embedding,0
11,Differentiable Tree Operations Promote Compositional Generalization,0
12,Can Neural Network Memorization Be Localized?,0
1728,Spherical Inducing Features for Orthogonally-Decoupled Gaussian Processes,0
1643,Stable Estimation of Heterogeneous Treatment Effects,0
1121,FREDIS: A Fusion Framework of Refinement and Disambiguation for Unreliable Partial Label Learning,0
1636,Provable Dynamic Fusion for Low-Quality Multimodal Data,0
1441,CircuitNet: A Generic Neural Network to Realize Universal Circuit Motif Modeling,0
1263,Analyzing Convergence in Quantum Neural Networks: Deviations from Neural Tangent Kernels,0
1459,Drug Discovery under Covariate Shift with Domain-Informed Prior Distributions over Functions,0
1266,Hybrid Energy Based Model in the Feature Space for Out-of-Distribution Detection,0
1268,Offline Reinforcement Learning with Closed-Form Policy Improvement Operators,0
1444,On the Connection Between MPNN and Graph Transformer,0
1443,InfoOT: Information Maximizing Optimal Transport,0
1274,On Sampling with Approximate Transport Maps,0
1442,Controlled Differential Equations on Long Sequences via Non-standard Wavelets,0
1279,Differentiable Multi-Target Causal Bayesian Experimental Design,0
1472,dugMatting: Decomposed-Uncertainty-Guided Matting,0
1440,Detecting Adversarial Data by Probing Multiple Perturbations Using Expected Perturbation Score,0
1280,Fair yet Asymptotically Equal Collaborative Learning,0
40,Predicting Rare Events by Shrinking Towards Proportional Odds,0
1281,From Noisy Fixed-Point Iterations to Private ADMM for Centralized and Federated Learning,0
1282,Safe Offline Reinforcement Learning with Real-Time Budget Constraints,0
1431,Adaptive Annealed Importance Sampling with Constant Rate Progress,0
1284,Rethinking Visual Reconstruction: Experience-Based Content Completion Guided by Visual Cues,0
1430,Reliable Measures of Spread in High Dimensional Latent Spaces,0
1471,On the convergence of the MLE as an estimator of the learning rate in the Exp3 algorithm,0
1259,Fast Rates for Maximum Entropy Exploration,0
1429,Surrogate Model Extension (SME): A Fast and Accurate Weight Update Attack on Federated Learning,0
1245,Adaptive Identification of Populations with Treatment Benefit in Clinical Trials: Machine Learning Challenges and Solutions,0
1236,Which is Better for Learning with Noisy Labels: The Semi-supervised Method or Modeling Label Noise?,0
1237,Surface Snapping Optimization Layer for Single Image Object Shape Reconstruction,0
1239,NP-SemiSeg: When Neural Processes meet Semi-Supervised Semantic Segmentation,0
1242,Representations and Exploration for Deep Reinforcement Learning using Singular Value Decomposition,0
1243,Graph Ladling: Shockingly Simple Parallel GNN Training without Intermediate Communication,0
1513,Stratified Adversarial Robustness with Rejection,0
1511,Tight and fast generalization error bound of graph embedding in metric space,0
1510,A Law of Robustness beyond Isoperimetry,0
1246,Efficient Sequence Transduction by Jointly Predicting Tokens and Durations,0
1482,Graph Neural Networks can Recover the Hidden Features Solely from the Graph Structure,0
1247,Thompson Sampling for High-Dimensional Sparse Linear Contextual Bandits,0
1500,Non-autoregressive Conditional Diffusion Models for Time Series Prediction,0
1498,Learning to Decouple Complex Systems,0
1495,Regularization and Variance-Weighted Regression Achieves Minimax Optimality in Linear MDPs: Theory and Practice,0
1494,Automatically marginalized MCMC in probabilistic programming,0
1251,Quantum Ridgelet Transform: Winning Lottery Ticket of Neural Networks with Quantum Computation,0
1490,Optimal Shrinkage for Distributed Second-Order Optimization,0
1255,Efficient Graph Field Integrators Meet Point Clouds,0
1289,A Connection between One-Step RL and Critic Regularization in Reinforcement Learning,0
1294,Doubly Adversarial Federated Bandits,0
1230,Fast $(1+\varepsilon)$-Approximation Algorithms for Binary Matrix Factorization,0
1340,Neural Prediction Errors enable Analogical Visual Reasoning in Human Standard Intelligence Tests,0
1397,SNeRL: Semantic-aware Neural Radiance Fields for Reinforcement Learning,0
1389,GAT: Guided Adversarial Training with Pareto-optimal Auxiliary Tasks,0
1384,Dual Focal Loss for Calibration,0
1383,Semi-Parametric Contextual Pricing Algorithm using Cox Proportional Hazards Model,0
1335,Contextual Combinatorial Bandits with Probabilistically Triggered Arms,0
1337,Towards Deep Attention in Graph Neural Networks: Problems and Remedies,0
1338,Understanding the Role of Feedback in Online Learning with Switching Costs,0
1381,PreNAS: Preferred One-Shot Learning Towards Efficient Neural Architecture Search,0
1378,Wasserstein Barycenter Matching for Graph Size Generalization of Message Passing Neural Networks,0
1321,CRISP: Curriculum based Sequential neural decoders for Polar code family,0
1376,ConCerNet: A Contrastive Learning Based Framework for Automated Conservation Law Discovery and Trustworthy Dynamical System Prediction,0
907,Graph Contrastive Backdoor Attacks,0
1343,Straightening Out the Straight-Through Estimator: Overcoming Optimization Challenges in Vector Quantized Networks,0
1373,DDGR: Continual Learning with Deep Diffusion-based Generative Replay,0
1368,IncDSI: Incrementally Updatable Document Retrieval,0
1348,Revisiting Simple Regret: Fast Rates for Returning a Good Arm,0
1350,Sample Complexity Bounds for Learning High-dimensional Simplices in Noisy Regimes,0
1360,What can online reinforcement learning with function approximation benefit from general coverage conditions?,0
1399,How Powerful are Shallow Neural Networks with Bandlimited Random Weights?,0
1401,FedBR: Improving Federated Learning on Heterogeneous Data via Local Learning Bias Reduction,0
1428,A Coupled Flow Approach to Imitation Learning,0
1308,Boosting Graph Contrastive Learning via Graph Contrastive Saliency,0
1296,On Strengthening and Defending Graph Reconstruction Attack with Markov Chain Approximation,0
1422,Beyond Homophily: Reconstructing Structure for Graph-agnostic Clustering,0
1299,Learning Instance-Specific Augmentations by Capturing Local Invariances,0
1301,CO-BED: Information-Theoretic Contextual Optimization via Bayesian Experimental Design,0
1302,Nonlinear Advantage: Trained Networks Might Not Be As Complex as You Think,0
1419,Accuracy on the Curve: On the Nonlinear Correlation of ML Performance Between Data Subpopulations,0
1305,Graph Switching Dynamical Systems,0
1306,Improving Expert Predictions with Conformal Prediction,0
1310,Nonparametric Iterative Machine Teaching,0
1317,Improving Hyperparameter Learning under Approximate Inference in Gaussian Process Models,0
1416,Robust One-Class Classification with Signed Distance Function using 1-Lipschitz Neural Networks,0
1414,Policy Contrastive Imitation Learning,0
1311,On the Convergence Rate of Gaussianization with Random Rotations,0
1411,Graph Positional Encoding via Random Feature Propagation,0
1407,When and How Does Known Class Help Discover Unknown Ones? Provable Understanding Through Spectral Analysis,0
1406,Building Neural Networks on Matrix Manifolds: A Gyrovector Space Approach,0
1313,Multi-User Reinforcement Learning with Low Rank Rewards,0
1316,A Fast Optimistic Method for Monotone Variational Inequalities,0
1232,Reinforcement Learning with General Utilities: Simpler Variance Reduction and Large State-Action Space,0
44,High-dimensional Location Estimation via Norm Concentration for Subgamma Vectors,0
51,TabLeak: Tabular Data Leakage in Federated Learning,0
1575,Solving High-Dimensional PDEs with Latent Spectral Models,0
1120,ContraBAR: Contrastive Bayes-Adaptive Deep RL,0
1585,On the Optimality of Misspecified Kernel Ridge Regression,0
1584,Estimating Heterogeneous Treatment Effects: Mutual Information Bounds and Learning Algorithms,0
1124,XTab: Cross-table Pretraining for Tabular Transformers,0
1125,On the Robustness of Text Vectorizers,0
1578,Quantifying the Knowledge in GNNs for Reliable Distillation into MLPs,0
1577,A Study on Transformer Configuration and Training Objective,0
1129,Online Nonstochastic Control with Adversarial and Static Constraints,0
1135,Shapley Based Residual Decomposition for Instance Analysis,0
1588,How Does Information Bottleneck Help Deep Learning?,0
1137,Metagenomic Binning using Connectivity-constrained Variational Autoencoders,0
1574,Modeling Dynamic Environments with Scene Graph Memory,0
1141,Hierarchical Imitation Learning with Vector Quantized Models,0
1143,Temporal Label Smoothing for Early Event Prediction,0
1144,Reconstructive Neuron Pruning for Backdoor Defense,0
1145,Minimalistic Predictions to Schedule Jobs with Online Precedence Constraints,0
1565,Geometric Autoencoders - What You See is What You Decode,0
1147,Implicit Neural Spatial Representations for Time-dependent PDEs,0
1119,Why Random Pruning Is All We Need to Start Sparse,0
1595,Transcendental Idealism of Planner: Evaluating Perception from Planning Perspective for Autonomous Driving,0
1150,Generalized Polyak Step Size for First Order Optimization with Momentum,0
31,Learning Belief Representations for Partially Observable Deep RL,0
1075,Random Teachers are Good Teachers,0
29,Master-ASR: Achieving Multilingual Scalability and Low-Resource Adaptation in ASR with Modular Learning,0
1634,Rethink DARTS Search Space and Renovate a New Benchmark,0
1631,Functional Neural Networks: Shift invariant models for functional data with applications to EEG classification,0
1630,Blossom: an Anytime Algorithm for Computing Optimal Decision Trees,0
1628,Do Not Train It: A Linear Neural Architecture Search of Graph Neural Networks,0
1624,UPSCALE: Unconstrained Channel Pruning,0
1090,What Makes Entities Similar? A Similarity Flooding Perspective for Multi-sourced Knowledge Graph Embeddings,0
1098,Data Representations' Study of Latent Image Manifolds,0
1601,Fair and Robust Estimation of Heterogeneous Treatment Effects for Policy Learning,0
1614,Which Tricks are Important for Learning to Rank?,0
